Type,Name,Email,Phone,Website,Address,Specialty,Rating
Hotel,Ala Moana Honolulu by Mantra,,(808) 955-4811,https://www.alamoanahotelhonolulu.com/,"410 Atkinson Dr, Honolulu, HI 96814",,4.1
Hotel,Aqua Aloha Surf Waikiki Hotel,info@aquaaston.com,(808) 923-0222,https://www.aquaaston.com/hotels/aqua-aloha-surf-waikiki,"444 Kānekapōlei St C3, Honolulu, HI 96815",,3.4
Hotel,Aston Waikiki Circle Hotel,info@aquaaston.com,(808) 923-1571,https://www.aquaaston.com/hotels/aston-waikiki-circle-hotel,"2464 Kalākaua Ave, Honolulu, HI 96815",,4.1
Hotel,"Aulani, A Disney Resort & Spa",info@disneyaulani.com,(866) 443-4763,https://www.disneyaulani.com/?CMP=OKC-16108664_GM_AUL_resort_aulani_NA,"92-1185 Aliinui Dr, Kapolei, HI 96707",,4.6
Hotel,"Aulani, Disney Vacation Club Villas Preview Center",info@disneyvacationclub.disney.go.com,(808) 674-6200,https://disneyvacationclub.disney.go.com/preview-centers/hawaii/?CMP=OKC-dlr_gmap_437,"92-1185 Aliinui Dr, Kapolei, HI 96707",,4.7
Hotel,Beach Villas at Ko Olina AOAO,info@beachvillasaoao.com,(808) 469-3575,https://beachvillasaoao.com/,"92-106 Waialii Pl, Kapolei, HI 96707",,4.7
Hotel,Castle Ilikai Tower,info@castleresorts.com,(808) 955-7327,http://www.castleresorts.com/Home/accommodations/ilikai-tower,"1777 Ala Moana Blvd, Honolulu, HI 96815",,4.6
Hotel,Courtyard by Marriott Waikiki Beach,info@marriott.com,(808) 954-4000,https://www.marriott.com/en-us/hotels/hnlow-courtyard-waikiki-beach/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"400 Royal Hawaiian Ave, Honolulu, HI 96815",,3.7
Hotel,Embassy Suites by Hilton Oahu Kapolei,info@hilton.com,(808) 674-8222,https://www.hilton.com/en/hotels/jrfokes-embassy-suites-oahu-kapolei/?SEO_id=GMB-AMER-ES-JRFOKES&y_source=1_ODIyMDEwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"725 Manawai St, Kapolei, HI 96707",,4.5
Hotel,FIRST CABIN INTERNATIONAL HAWAII,Statesinfo@first-cabin.us,(808) 207-5000,https://first-cabin.us/,"Waikiki Business Plaza 14th Floor, 2270 Kalākaua Ave Suite1400, Honolulu, HI 96815",,3.8
